city,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed
alice springs,-23.7,62.6,27,0,8.05
atar,20.52,87.82,15,2,6.15
yellowknife,62.46,23.0,67,75,5.82
altay,47.87,31.55,77,0,3.96
penzance,50.12,50.0,81,68,14.99
hambantota,6.12,78.8,94,40,2.24
bredasdorp,-34.53,64.4,82,99,9.17
lebu,-37.62,52.45,83,100,5.26
albany,42.6,50.0,98,100,1.99
bathsheba,13.22,75.2,94,75,21.92
georgetown,5.41,75.2,88,20,5.12
monterey,36.25,61.0,8,24,3.0
yatou,37.15,55.47,73,28,4.21
broken hill,-31.95,51.8,87,90,9.17
viedma,-40.81,72.0,20,10,3.0
quatre cocos,-20.21,73.0,78,75,8.05
narsaq,60.92,34.12,82,95,6.33
middelburg,-25.78,65.8,55,33,5.17
salalah,17.02,75.2,60,0,4.7
antofagasta,-23.65,60.8,72,90,13.87
varhaug,58.61,46.0,99,11,5.01
airai,-8.93,67.5,83,65,1.77
ancud,-41.87,54.0,66,75,11.41
albenga,44.05,55.4,82,20,4.7
wasilla,61.58,36.0,100,90,5.82
kodinsk,58.69,24.76,95,90,3.02
norman wells,65.28,24.8,85,90,16.11
punta arenas,-53.15,50.0,65,20,23.04
port alfred,-33.59,66.27,85,90,25.5
bambous virieux,-20.34,73.0,78,75,8.05
vao,-22.67,73.36,83,5,20.98
nioro,13.35,78.96,52,0,5.61
kangaatsiaq,68.31,23.79,91,71,7.92
richmond,37.55,64.4,77,20,5.82
pisco,-13.7,68.0,68,0,18.34
pangnirtung,66.15,17.6,72,75,8.05
bonavista,48.65,36.0,63,98,4.0
shingu,33.73,58.14,57,9,4.0
kavaratti,10.57,81.91,72,79,6.22
saint-joseph,-21.37,71.6,78,27,4.7
salamiyah,35.01,71.6,22,0,17.07
soubre,5.79,72.7,98,94,2.51
orta nova,41.33,57.2,76,5,4.7
saint george,37.1,52.0,9,1,32.21
yulara,-25.24,64.4,27,0,10.29
faanui,-16.48,80.4,77,68,17.83
guantanamo,20.14,86.0,70,75,9.17
severo-kurilsk,50.68,43.88,82,95,3.31
cabo san lucas,22.89,87.8,58,5,14.99
geraldton,-28.77,59.0,87,15,7.47
tuktoyaktuk,69.45,8.6,84,40,12.75
tasiilaq,65.61,33.8,47,100,20.8
east london,-33.02,67.08,87,99,21.32
ribeira grande,38.52,69.8,88,75,18.34
bridlington,54.08,48.0,87,39,10.29
cap malheureux,-19.98,73.0,77,1,7.0
ponta do sol,32.67,66.2,72,40,11.41
severo-yeniseyskiy,60.37,12.52,97,78,3.67
kampong thum,12.71,71.8,93,100,4.92
kropotkin,45.44,55.0,60,24,15.95
kyrylivka,46.38,60.1,80,95,21.7
pandan,14.05,78.75,84,100,5.14
martapura,-3.42,73.4,100,54,3.36
booue,-0.09,73.51,96,100,1.39
barretos,-20.56,79.88,61,100,4.9
tazovskiy,67.47,-0.74,92,3,6.85
lorengau,-2.02,81.46,79,100,5.88
carnarvon,-24.87,68.0,88,0,16.11
longyearbyen,78.22,24.8,79,75,10.29
chifeng,42.27,35.71,67,0,8.08
awbari,26.59,72.91,26,69,12.41
saraland,30.82,80.01,82,13,4.88
kruisfontein,-34.0,64.0,90,94,5.01
nikolskoye,59.7,48.2,87,90,6.71
san cristobal,7.77,87.8,58,40,11.41
darhan,49.49,27.5,77,0,4.29
hithadhoo,-0.6,83.08,65,65,7.4
nabire,-3.37,81.09,75,3,2.37
saint-pierre,-21.34,71.6,78,9,4.7
sawakin,19.11,82.04,76,25,3.44
barrow,71.29,19.4,85,90,5.82
vila franca do campo,37.72,68.0,82,40,16.11
biharamulo,-2.63,63.57,92,93,1.7
camacha,33.08,66.2,72,40,4.7
adrar,20.5,87.35,13,26,6.98
chuy,-33.7,58.05,89,100,13.49
kahului,20.89,89.6,52,40,10.29
hauterive,46.09,48.2,66,0,5.82
hasaki,35.73,55.0,87,75,8.05
klaksvik,62.23,37.4,67,27,3.36
atuona,-9.8,79.02,73,93,19.44
villazon,-22.09,53.38,58,26,13.89
manali,13.17,78.8,94,40,7.05
dikson,73.51,11.03,95,93,16.13
torbay,47.67,37.0,64,90,8.05
ostrovnoy,68.05,41.2,93,100,29.24
kodiak,57.79,51.8,64,1,28.86
beringovskiy,63.05,32.92,87,0,2.68
rundu,-17.93,72.7,21,0,6.53
cayenne,4.93,82.4,78,34,2.24
sokoni,-6.43,77.0,83,20,6.62
waitati,-45.75,52.0,73,71,10.0
simao,22.79,60.62,92,26,1.57
gualeguay,-33.14,57.18,69,0,5.17
puerto ayora,-0.74,75.2,69,20,20.8
ayan,56.45,33.08,74,4,3.78
somerset east,-32.72,61.93,75,66,5.91
port keats,-14.25,77.32,83,86,8.32
mezen,65.85,31.01,97,100,13.22
ketchikan,55.34,53.6,100,90,11.41
cidreira,-30.18,68.34,95,100,13.04
tarko-sale,64.92,4.86,94,2,12.33
tiksi,71.69,6.37,94,99,6.62
khatanga,71.97,2.55,94,82,9.64
yurimaguas,-5.9,87.03,58,99,3.09
bluff,-46.6,53.01,74,56,3.0
lagoa,39.05,68.07,92,100,23.69
tabuk,17.42,75.51,89,99,1.59
esperance,-33.87,57.2,93,0,5.82
kantunilkin,21.09,82.4,74,90,23.04
edson,53.58,33.8,100,90,3.36
morant bay,17.88,84.0,83,40,23.04
fortuna,40.6,68.0,18,1,11.41
ayios vasilios,37.8,57.99,58,2,1.01
saskylakh,71.92,-0.65,91,93,5.77
aksarka,66.56,3.52,94,60,6.76
los llanos de aridane,28.66,69.8,64,0,12.75
agdas,40.65,50.0,93,13,3.15
te anau,-45.42,54.55,52,59,6.44
lethem,3.38,86.32,55,98,7.76
souillac,-20.52,71.6,78,75,8.05
zheleznodorozhnyy,55.75,43.0,93,0,4.47
marawi,8.0,75.0,89,100,7.0
ierapetra,35.01,66.99,70,7,5.01
vardo,70.37,37.4,86,75,12.75
ajdabiya,30.76,70.0,66,0,6.76
port-cartier,50.03,32.0,98,90,5.82
port-gentil,-0.72,78.8,88,90,6.93
clyde river,70.47,10.44,86,7,4.59
hodmezovasarhely,46.42,55.0,96,0,7.67
sodhra,32.46,64.4,82,0,2.89
mason city,43.15,28.4,58,1,8.05
bucerias,20.75,87.8,74,40,11.41
pangai,-19.8,80.6,78,40,11.41
santa rosalia,27.32,69.48,59,14,26.26
carutapera,-1.2,79.52,81,93,6.06
hanzhong,33.07,56.7,68,100,1.68
rudbar,30.15,54.18,34,0,1.01
yerbogachen,61.28,20.64,96,100,4.21
vanavara,60.34,22.37,95,99,4.03
laguna,38.42,75.0,7,1,20.8
nanortalik,60.14,33.46,91,94,13.51
arlit,18.74,77.38,17,0,9.51
central point,42.38,64.99,11,1,0.36
the pas,53.83,26.6,49,1,11.41
meulaboh,4.14,75.9,87,93,4.38
chipinge,-20.19,63.18,52,0,6.6
sao francisco de assis,-29.55,63.21,93,96,8.46
kitui,-1.37,64.89,92,74,7.31
qaanaaq,77.48,8.02,75,78,9.15
provideniya,64.38,32.0,92,90,3.27
novosheshminsk,55.07,29.7,93,0,10.2
yokadouma,3.52,69.73,95,92,0.38
kochinda,21.73,66.92,67,0,1.9
bairiki,1.33,86.0,62,40,9.17
rabo de peixe,37.8,68.0,82,40,16.11
talnakh,69.49,-2.2,84,40,2.66
nuuk,64.18,28.4,68,100,2.24
funtua,11.52,70.66,33,14,2.68
bar harbor,44.39,51.01,93,90,4.7
yar-sale,66.83,7.12,95,63,6.49
rio cuarto,-33.13,71.6,26,0,13.87
cockburn town,21.46,82.98,80,94,19.6
tuatapere,-46.13,53.01,74,89,3.0
pedernales,18.04,84.2,79,40,9.17
pocone,-16.26,81.48,66,100,5.75
le port,-20.94,71.6,83,18,2.24
pravia,43.49,55.99,66,0,10.29
codrington,-38.27,56.64,73,49,14.72
dzhebariki-khaya,62.22,15.37,87,97,2.06
sur,22.57,69.57,62,0,3.49
stephenville,32.22,39.2,86,90,16.11
new norfolk,-42.78,55.0,61,99,1.01
comodoro rivadavia,-45.87,66.2,37,0,20.8
jiuquan,39.74,32.25,74,86,0.92
bahia blanca,-38.72,68.63,29,20,8.01
waddan,29.16,69.46,49,0,11.43
luqiao,28.58,69.01,74,35,3.62
livingston,55.9,46.99,93,75,9.17
saldanha,-33.01,59.0,87,9,3.36
ropczyce,50.05,54.0,87,0,5.82
ixtapa,20.7,87.8,74,40,11.41
ndjole,-0.18,75.45,93,99,4.05
inuvik,68.35,10.4,78,90,10.29
asbe teferi,9.08,58.23,38,54,2.44
dudinka,69.41,-2.2,84,40,1.23
taltal,-25.4,59.14,78,43,5.46
mahajanga,-15.72,77.0,83,20,2.24
deming,32.27,73.4,25,1,20.8
ugoofaaru,5.67,82.0,76,47,9.57
krasnovishersk,60.41,18.79,95,0,5.06
buraydah,26.33,66.2,29,0,3.47
castro,-24.79,65.07,85,97,3.36
bolgar,54.95,32.0,93,75,6.71
chapais,49.78,28.4,100,90,5.82
asansol,23.68,68.59,57,0,5.06
carballo,43.21,54.0,87,0,8.05
palestine,31.92,73.0,83,0,2.24
nouadhibou,20.93,75.2,64,0,18.34
maragogi,-9.01,77.27,78,0,15.84
atasu,48.68,43.61,70,80,18.1
sulangan,11.14,82.63,75,100,10.22
uglovskoye,51.36,46.18,53,99,25.39
porosozero,62.72,43.52,95,100,8.46
aripuana,-9.17,80.58,70,92,4.38
puri,19.8,73.4,88,20,7.76
ayame,5.61,74.98,94,100,2.95
havre,49.58,51.8,87,90,17.22
lakes entrance,-37.88,57.0,95,98,1.01
namtsy,62.72,17.6,78,40,6.71
hervey bay,-25.3,75.99,90,98,4.0
xai-xai,-25.05,71.67,91,11,7.31
lebedinyy,58.52,12.83,97,100,6.08
san patricio,28.02,84.2,66,20,18.34
lompoc,34.64,69.8,40,1,14.99
bruiu,45.87,41.0,100,0,2.26
saint helens,53.45,50.0,87,40,12.75
staraya mayna,54.6,32.0,94,75,6.71
callaway,30.15,84.2,62,40,8.05
ilovlya,49.3,37.4,86,0,4.47
waingapu,-9.66,81.3,68,49,4.52
ilulissat,69.22,19.4,73,100,5.82
suez,29.97,71.13,79,0,9.1
ternate,0.8,82.24,72,95,3.04
sao filipe,14.9,80.56,77,100,6.96
tilichiki,60.47,31.37,95,100,6.85
katherine,-14.47,77.0,69,40,6.93
belmonte,-15.86,78.8,78,40,9.17
rio claro,-22.41,80.6,44,0,4.7
buluang,13.31,76.64,90,100,3.38
anadyr,64.75,19.4,92,75,6.71
biak,-0.91,79.3,74,99,3.11
chihuahua,28.5,86.0,11,5,16.11
nantucket,41.28,59.0,87,90,10.29
kaitangata,-46.28,53.01,69,89,7.0
ukiah,39.15,79.0,2,1,4.7
miragoane,18.44,82.69,75,95,2.93
saint-francois,46.42,46.4,81,0,4.7
mecca,21.43,74.59,65,0,2.06
richards bay,-28.78,67.41,83,100,0.72
dukat,62.55,13.6,96,98,7.31
fairbanks,64.84,30.2,92,90,4.18
kupang,-10.17,77.0,94,20,4.7
razdolinsk,58.42,24.04,97,98,5.32
wilmington island,32.0,72.0,78,90,5.82
angren,41.02,48.0,41,0,3.09
natal,-5.79,80.6,83,40,8.05
ankpa,7.37,73.4,91,91,3.76
todos santos,23.45,79.0,67,1,8.01
yelovo,57.05,27.41,91,81,14.61
avera,33.19,68.0,100,90,6.93
ahipara,-35.17,68.52,73,30,6.22
forbes,-33.38,63.0,60,64,5.01
candolim,15.52,76.95,86,3,5.5
iskateley,67.68,18.86,95,100,13.06
caucaia,-3.74,80.6,78,20,8.05
senneterre,48.38,26.6,100,90,12.75
alappuzha,9.49,78.98,84,100,7.31
sarh,9.14,77.0,88,0,0.58
sao mateus do maranhao,-4.04,79.27,82,100,5.66
san lawrenz,36.06,69.01,77,40,5.82
ileza,61.05,27.9,97,59,7.31
baykit,61.67,14.74,93,79,3.94
svetlaya,46.54,42.49,64,0,3.33
dingle,11.0,78.51,88,100,5.59
eyrarbakki,63.86,39.2,69,0,10.29
palmer,42.16,50.0,93,90,5.82
boca do acre,-8.75,79.92,76,83,2.39
minna,9.61,78.8,74,100,5.82
labuhan,-6.88,79.2,82,78,11.14
severnoye,56.35,41.11,92,100,10.02
otane,-39.88,63.0,74,88,1.99
mlimba,-8.8,75.67,68,99,5.01
rognan,67.1,44.6,65,75,12.75
hayden,47.77,32.0,68,1,5.82
rocha,-34.48,55.56,65,100,10.74
giyani,-23.3,73.62,49,0,11.7
havoysund,71.0,37.4,74,0,9.17
raton,36.9,16.0,78,90,5.82
iquique,-20.22,64.4,72,90,10.29
puerto colombia,10.99,87.8,70,40,3.36
novobirilyussy,56.95,35.82,97,100,5.41
mozarlandia,-14.74,83.75,59,100,3.87
cap-haitien,19.76,84.0,78,96,15.23
zhangjiakou,40.81,34.59,69,0,5.21
pinawa,50.15,22.32,86,5,9.24
isangel,-19.55,78.8,74,75,5.82
hamina,60.57,48.2,93,90,8.05
hofn,64.25,36.54,78,4,10.74
mayumba,-3.43,76.71,87,97,5.17
mantua,45.17,57.0,96,100,5.01
ode,7.79,71.33,91,32,3.62
coihaique,-45.58,50.0,46,40,6.93
atikokan,48.76,23.81,90,100,4.81
chortomlyk,47.62,57.47,68,98,14.63
bilma,18.69,68.7,24,0,1.32
walvis bay,-22.96,57.2,87,0,11.41
panikian,7.01,77.0,94,75,3.36
arcachon,44.59,51.8,87,28,6.93
saint-augustin,51.23,33.98,75,96,9.93
vila velha,-20.33,75.2,78,0,11.41
katsuura,35.13,62.01,67,75,13.87
angoche,-16.23,75.43,78,0,3.15
lagos,6.58,77.0,94,40,3.06
puerto parra,6.65,81.3,73,34,1.86
rio gallegos,-51.62,59.0,15,20,21.92
colares,38.8,57.0,81,0,3.36
takoradi,4.88,77.77,88,98,5.84
nyurba,63.28,12.92,86,98,2.71
luwuk,-0.95,80.37,69,99,2.86
riberalta,-10.98,91.4,59,75,6.93
kaspiysk,42.88,60.8,87,75,11.18
nsanje,-16.92,72.36,70,12,4.27
asau,46.43,48.99,98,2,3.74
necochea,-38.55,61.0,70,0,5.01
madang,-5.22,85.1,62,31,1.88
turayf,31.67,66.2,20,0,13.87
luderitz,-26.65,60.75,73,0,12.15
barahona,18.21,84.2,79,40,9.17
sorong,-0.88,78.73,79,100,5.79
grand gaube,-20.01,73.0,77,1,7.0
muros,42.78,55.0,89,100,7.0
eureka,40.8,73.99,23,1,17.22
merauke,-8.47,81.57,76,88,10.25
grindavik,63.84,39.2,80,75,19.46
half moon bay,37.46,73.99,7,1,13.87
taunsa,30.7,64.42,29,0,2.21
lyngseidet,69.58,41.0,79,0,25.28
yayva,59.33,23.0,85,46,3.0
nemuro,43.32,50.31,76,32,8.55
sitka,57.05,47.64,87,100,6.08
raver,21.25,71.17,49,0,2.42
parabel,58.7,30.81,98,100,14.29
sao joao da barra,-21.64,73.4,94,75,2.24
luganville,-15.53,80.6,78,75,5.82
elmadag,39.92,63.0,46,0,4.72
bandarbeyla,9.49,75.47,79,51,12.15
akdepe,42.06,48.2,66,0,6.93
tuensang,26.28,63.84,83,0,1.72
guozhen,34.37,58.08,36,100,4.09
garmsar,35.22,56.17,38,0,0.72
mirano,45.49,60.8,93,75,4.7
birao,10.28,74.32,48,89,0.89
haverfordwest,51.8,50.0,87,36,13.87
general pico,-35.66,63.81,38,28,7.49
santa cruz,-17.8,80.6,47,75,11.41
garh maharaja,30.83,67.17,26,0,3.0
grenada,37.19,45.0,87,0,1.48
muncar,-8.43,77.83,84,95,1.16
cuamba,-14.8,76.19,51,83,3.87
batagay,67.63,7.32,88,100,2.19
chilakalurupet,16.08,72.75,83,0,3.85
conde,-7.26,78.8,83,40,5.82
vetluga,57.86,27.93,96,4,2.86
puma,-5.0,63.5,77,67,10.87
hailar,49.2,24.75,92,3,17.43
nome,64.5,37.99,59,20,6.93
sola,-13.88,84.2,79,75,5.82
mukhen,48.1,38.57,80,3,3.53
tual,-5.67,82.13,75,98,7.81
lillooet,50.69,45.0,52,1,2.24
jinxiang,27.43,64.94,82,15,7.27
tolaga bay,-38.37,67.82,59,50,6.51
guerrero negro,27.98,73.78,35,1,23.38
coquimbo,-29.95,57.2,82,0,13.87
chiredzi,-21.05,72.82,46,0,4.81
lloydminster,53.28,33.8,43,75,11.41
luyang,27.62,59.38,87,88,1.5
naze,28.37,71.6,64,20,8.05
trairi,-3.28,78.73,80,0,10.0
vrede,-27.43,59.14,83,90,7.07
guiratinga,-16.35,80.02,64,96,1.99
faya,18.39,59.0,22,0,3.78
troitsko-pechorsk,62.71,16.63,97,54,3.91
sechura,-5.56,71.17,68,51,15.93
morondava,-20.28,75.13,72,44,6.35
fukue,32.69,67.06,56,0,7.72
gimli,50.63,28.0,98,47,7.0
ranong,9.97,78.42,82,99,5.06
chakwal,32.93,57.2,58,0,6.93
vestmannaeyjar,63.44,43.05,75,100,29.24
matagami,49.75,23.0,100,90,8.05
sompeta,18.93,75.7,64,2,5.46
valdivia,-39.81,51.8,93,90,11.41
yarada,17.65,80.6,88,40,2.24
kutum,14.2,70.39,23,28,9.51
veraval,20.9,80.15,58,0,8.68
karasburg,-28.02,61.74,46,9,7.34
mus,39.0,41.72,56,0,2.33
karoi,-16.81,69.28,48,0,10.0
luanda,-8.84,77.0,83,75,6.93
fort nelson,58.81,32.0,86,90,4.7
mugango,-1.68,71.6,83,40,4.52
abalak,58.13,36.16,96,100,18.86
darnah,32.77,69.6,60,0,5.64
hirara,24.8,75.2,73,40,10.29
xining,36.62,33.13,92,100,2.95
okha,53.57,39.67,83,96,9.78
yabelo,4.88,61.74,89,48,6.85
yenagoa,4.92,76.26,94,100,3.06
harper,4.38,77.79,90,82,9.24
orlik,52.52,14.68,89,89,3.58
kirakira,-10.45,84.92,72,81,4.5
constitucion,-35.33,53.15,75,64,13.82
ialibu,-6.28,65.7,81,87,1.16
flinders,-34.58,57.99,91,99,3.0
thaba-tseka,-29.52,55.36,69,100,5.64
sandpoint,48.28,33.01,88,40,9.17
dongsheng,39.82,30.85,68,91,8.99
bud,39.45,45.0,93,90,8.46
mehamn,71.04,33.8,80,0,13.87
deputatskiy,69.3,-0.2,88,83,1.25
tofield,53.37,39.2,64,90,10.29
fort-shevchenko,44.51,51.55,62,88,11.88
playa vicente,17.83,83.03,72,9,1.34
yaqui,27.37,86.0,35,5,11.41
sisimiut,66.94,20.59,91,66,7.27
mitchell,43.71,24.8,58,1,5.82
wanning,18.8,71.98,87,91,10.92
aguimes,27.91,71.6,68,75,13.87
iqaluit,63.75,15.8,85,90,4.7
pasinler,39.98,32.0,50,0,1.12
oliveira dos brejinhos,-12.32,73.94,81,95,2.19
petropavlovsk-kamchatskiy,53.05,39.2,100,99,4.47
glendive,47.11,21.99,67,90,9.17
ayaviri,-14.89,53.31,45,98,5.12
poputnaya,44.51,50.0,10,2,7.23
srednekolymsk,67.45,7.3,91,0,5.86
hualmay,-11.1,65.7,78,94,9.4
poum,-20.23,76.77,73,0,10.13
asfi,32.3,64.72,77,0,18.43
gizo,-8.1,83.35,71,89,1.88
paamiut,61.99,32.27,90,92,29.24
saurimo,-9.66,65.77,93,100,3.62
arroio dos ratos,-30.08,71.6,100,90,5.82
makakilo city,21.35,84.2,66,20,9.17
saint augustine,29.89,80.01,83,75,13.87
ponta pora,-22.54,68.0,94,90,2.26
mildura,-34.2,55.0,93,90,9.17
swellendam,-34.02,64.4,82,42,9.17
tumut,-35.3,51.57,83,100,3.96
vestmanna,62.16,37.4,77,13,3.36
itarema,-2.92,78.73,82,0,14.09
acapulco,16.86,86.0,79,75,8.05
shache,38.42,39.24,62,95,2.26
vanino,49.09,37.71,77,0,2.77
strelka,58.07,28.85,97,99,6.06
riyadh,24.69,64.4,39,0,3.06
yantal,56.85,18.61,93,89,4.12
cesis,57.31,52.0,96,100,4.0
caborca,30.58,70.0,26,42,8.99
sena madureira,-9.07,80.62,74,64,1.88
kidal,18.44,78.89,16,0,8.93
ormara,25.21,76.17,52,0,10.27
khulo,41.64,64.4,48,0,20.8
praia da vitoria,38.73,69.8,83,75,10.42
pochutla,15.74,87.8,66,90,8.05
lock haven,41.14,53.01,95,100,1.01
portland,45.52,55.0,37,20,3.36
mahon,39.89,51.8,81,0,4.18
san quintin,30.48,69.33,38,14,9.66
bima,-8.47,80.49,76,14,3.91
goya,-29.14,65.79,63,0,6.22
ust-kuyga,70.02,-2.24,87,90,1.43
kuusamo,65.97,41.0,93,90,9.17
tarata,-17.62,75.2,31,40,12.75
nelson bay,-32.72,63.0,88,90,17.22
lasa,46.62,48.0,67,90,5.82
masvingo,-20.06,67.06,50,0,6.89
abu samrah,35.3,69.12,23,0,11.5
upington,-28.45,82.4,17,32,8.05
saint-denis,48.92,48.2,87,20,6.93
caconda,-13.73,64.83,77,34,6.26
korla,41.76,41.0,83,76,3.0
toamasina,-18.17,66.2,93,20,5.06
mosjoen,65.84,33.8,91,0,2.24
tezu,27.92,71.98,61,53,2.19
tigil,57.8,40.21,71,89,3.53
oranjemund,-28.55,57.54,94,4,4.32
pampierstad,-27.78,70.11,56,100,13.4
vidim,56.41,22.8,93,95,6.89
